Hazard Name,Hazard Description,Likelihood,Severity
Damage containment failure,Hazard involving: damage containment failure.,1,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,3,2
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,3
Damage containment failure,Hazard involving: damage containment failure.,1,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,1
Ventilation failure,Hazard involving: ventilation failure.,2,2
System redundancy failure,Hazard involving: system redundancy failure.,2,5
Incident recording failure,Hazard involving: incident recording failure.,3,3
Flying object impact,Hazard involving: flying object impact.,3,1
PPE inadequacy,Hazard involving: ppe inadequacy.,1,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,2
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,4,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,4
Training inadequacy,Hazard involving: training inadequacy.,2,5
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",5,5
Person trapped,Hazard involving: person trapped.,2,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,3,3
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,2,3
Material incompatibilities,Hazard involving: material incompatibilities.,5,2
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,3,4
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,4,5
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,3,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,2
Damage repair failure,Hazard involving: damage repair failure.,2,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,2,2
Security breach,Hazard involving: security breach.,1,1
Damage repair failure,Hazard involving: damage repair failure.,1,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,5,3
Damage containment failure,Hazard involving: damage containment failure.,3,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,1,3
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,4
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,5,2
Power supply failure,Hazard involving: power supply failure.,2,4
Impact from heavy object,Hazard involving: impact from heavy object.,2,1
Drop hazard,Hazard involving: drop hazard.,3,4
Flying object impact,Hazard involving: flying object impact.,2,1
Interlock failure,Hazard involving: interlock failure.,2,5
Flying object impact,Hazard involving: flying object impact.,3,2
Support equipment hazard,Hazard involving: support equipment hazard.,4,5
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,4
Explosion potential,Hazard involving: explosion potential.,3,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,4
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,2
Electrical source hazard,Hazard involving: electrical source hazard.,1,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,2,3
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,1
Design deviation,Hazard involving: design deviation.,1,3
Design deviation,Hazard involving: design deviation.,2,3
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,5,1
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,1,5
Component substitution error,Hazard involving: component substitution error.,2,5
Explosion device,Hazard involving: explosion device.,2,5
Flammable materials,Hazard involving: flammable materials.,5,4
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,2,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,3
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,3,1
Maintenance error,Hazard involving: maintenance error.,4,3
Crash safety hazard,Hazard involving: crash safety hazard.,1,4
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,5
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,3,2
Hostile act,Hazard involving: hostile act.,3,2
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,2
Fire suppression system failure,Hazard involving: fire suppression system failure.,5,5
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",4,2
Design deviation,Hazard involving: design deviation.,5,5
Flammable materials,Hazard involving: flammable materials.,3,2
Proof testing hazard,Hazard involving: proof testing hazard.,1,4
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,2,3
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,2
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",2,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,3
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,3,1
Collision with object on track,Hazard involving: collision with object on track.,5,1
Hydraulic system failure,Hazard involving: hydraulic system failure.,2,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,1
Noise hazard,Hazard involving: noise hazard.,1,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",1,5
Support equipment hazard,Hazard involving: support equipment hazard.,4,4
Virus infection,Hazard involving: virus infection.,1,4
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",2,1
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,2,2
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,4
Egress failure,Hazard involving: egress failure.,4,2
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",1,5
Flammable materials,Hazard involving: flammable materials.,5,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,1,3
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,1,5
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,4
Electrical protection failure,Hazard involving: electrical protection failure.,1,2
Person trapped,Hazard involving: person trapped.,4,4
Flammable materials,Hazard involving: flammable materials.,2,4
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,2
Power supply failure,Hazard involving: power supply failure.,2,5
Design deviation,Hazard involving: design deviation.,4,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,4
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,3
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",4,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,3
Operator deviation,Hazard involving: operator deviation.,5,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,1,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,3,4
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,3,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,3,5
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",2,1
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,4
Security breach,Hazard involving: security breach.,5,1
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,1
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,3
Component substitution error,Hazard involving: component substitution error.,1,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,3,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,3,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,5,4
Crash safety hazard,Hazard involving: crash safety hazard.,3,2
Health hazard,Hazard involving: health hazard.,5,1
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,1,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,3
Explosion device,Hazard involving: explosion device.,4,1
Hazard containment failure,Hazard involving: hazard containment failure.,5,2
